Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
04/01/2021 16:00,34.36,8616.94,7227.01,756.72,-566.32,ACTUAL
04/01/2021 16:30,35.63,8445.89,6938.97,833.64,-612.81,ACTUAL
04/01/2021 17:00,35.65,8518.81,7072.59,770.95,-612.07,ACTUAL
04/01/2021 17:30,35.97,8437.76,7064.85,724.83,-592.52,ACTUAL
04/01/2021 18:00,33.18,8347.14,7042.48,667.08,-590.3,ACTUAL
04/01/2021 18:30,35.51,8225.93,6957.38,561.72,-658.41,ACTUAL
04/01/2021 19:00,36.45,8141.66,7120.88,369.14,-607.14,ACTUAL
04/01/2021 19:30,36.33,8045.69,7227.95,301.7,-482.76,ACTUAL
04/01/2021 20:00,35.02,7965.33,7158.49,300.49,-474.16,ACTUAL
04/01/2021 20:30,35.02,7850.76,7037.12,306.72,-476.36,ACTUAL
04/01/2021 21:00,33.62,7673.47,6805.57,280.54,-553.92,ACTUAL
04/01/2021 21:30,35.97,7652.87,6722.83,273.21,-616.46,ACTUAL
04/01/2021 22:00,38.46,7521.47,6436.46,280.1,-769.35,ACTUAL
04/01/2021 22:30,40.91,7533.54,6463.21,280.4,-752.27,ACTUAL
04/01/2021 23:00,38.83,7423.96,6410.76,270.99,-705.55,ACTUAL
04/01/2021 23:30,38.44,7253.18,6170.73,254.1,-795.27,ACTUAL
05/01/2021 00:00,37.44,7119.29,6058.07,242.33,-792.97,ACTUAL
05/01/2021 00:30,39.13,6973.54,6023.97,237.65,-683.97,ACTUAL
05/01/2021 01:00,38.36,6777.47,5875.97,227.05,-643.75,ACTUAL
05/01/2021 01:30,37.62,6527.26,5671.41,201.56,-621.77,ACTUAL
05/01/2021 02:00,38.32,6284.03,5408.67,202.47,-641.46,ACTUAL
05/01/2021 02:30,38.03,6154.24,5304.75,207.44,-609.51,ACTUAL
05/01/2021 03:00,36.48,6098.41,5204.11,239.87,-621.23,ACTUAL
05/01/2021 03:30,34.99,6055.05,5116.01,317.1,-587.95,ACTUAL
05/01/2021 04:00,36.58,6088.12,5195.12,325.21,-532.59,ACTUAL
05/01/2021 04:30,36.03,6193.4,5210.39,309,-641,ACTUAL
05/01/2021 05:00,36.99,6356.9,5335.57,298.38,-689.81,ACTUAL
05/01/2021 05:30,36.49,6567,5624.07,313.85,-594.26,ACTUAL
05/01/2021 06:00,35.62,6793.75,5651.6,406.36,-702.44,ACTUAL
05/01/2021 06:30,32.26,6901.74,5370.02,612.41,-888.63,ACTUAL
05/01/2021 07:00,31.75,7036.97,5181.32,813.88,-1003.29,ACTUAL
05/01/2021 07:30,27.36,7190.86,5224.5,1073.71,-858.58,ACTUAL
05/01/2021 08:00,29.23,7204.23,5146.17,1177.48,-845.09,ACTUAL
05/01/2021 08:30,30.44,7194.42,5171,1227.11,-757.64,ACTUAL
05/01/2021 09:00,27.76,7142.89,5162.62,1188.16,-747.98,ACTUAL
05/01/2021 09:30,31.32,7133.9,5213.86,1235.74,-639.08,ACTUAL
05/01/2021 10:00,31.02,7152.44,5154.97,1246.46,-700.91,ACTUAL
05/01/2021 10:30,31.5,7122.38,5168.25,1256.53,-643.64,ACTUAL
05/01/2021 11:00,32.68,7152.54,5357.11,1178.33,-562.99,ACTUAL
05/01/2021 11:30,32.63,7205.29,5520.32,1118.72,-504.07,ACTUAL
05/01/2021 12:00,33.01,7358.56,5677.86,1192.65,-425.12,ACTUAL
05/01/2021 12:30,36.08,7470.34,5737.97,1217.87,-445.48,ACTUAL
05/01/2021 13:00,36.31,7571.84,5816.93,1215.32,-469.17,ACTUAL
05/01/2021 13:30,38.08,7729.81,5999.99,1158.24,-497.8,ACTUAL
05/01/2021 14:00,33.51,7934.36,6172.82,1150.82,-530.47,ACTUAL
05/01/2021 14:30,33.02,8135.86,6199.09,1293.25,-558.65,ACTUAL
05/01/2021 15:00,34.98,8218.01,6239.83,1323.27,-572.57,ACTUAL
05/01/2021 15:30,33.99,8326.22,6323.86,1334.31,-585.66,ACTUAL
05/01/2021 16:00,35.47016,8595.59,6547.371,1321.929,-643.42,FORECAST
05/01/2021 16:30,35.48,8859.78,6891.312,1227.948,-657.42,FORECAST
05/01/2021 17:00,39.12,9081.51,7242.147,1107.803,-654.2,FORECAST
05/01/2021 17:30,39.12,9112.75,7505.384,923.746,-617.55,FORECAST
05/01/2021 18:00,39.12,9151.13,7687.397,744.373,-653.2,FORECAST
05/01/2021 18:30,41.7,9034.7,7753.104,554.666,-663.42,FORECAST
05/01/2021 19:00,41.7,8882.36,7804.942,347.928,-668.1,FORECAST
05/01/2021 19:30,40.86871,8761.15,7806.35,260.21,-638.21,FORECAST
05/01/2021 20:00,41.5183,8655.98,7704.845,265.415,-637.84,FORECAST
05/01/2021 20:30,39.12,8419.09,7606.613,270.717,-513.78,FORECAST
05/01/2021 21:00,39.12,8165.4,7191.028,279.002,-671.85,FORECAST
05/01/2021 21:30,39.12,8012.3,6924.762,290.808,-765.25,FORECAST
05/01/2021 22:00,38.32,7827.64,6580.119,305.051,-908.43,FORECAST
05/01/2021 22:30,39,7724.53,6488.213,318.407,-883.95,FORECAST
05/01/2021 23:00,35.66229,7569.37,6265.695,330.755,-941.14,FORECAST
05/01/2021 23:30,35.48,7352.34,6120.879,341.491,-872.78,FORECAST
06/01/2021 00:00,37.41413,7188.51,5961.876,354.224,-859.73,FORECAST
06/01/2021 00:30,37.17443,6944.35,5820,368.1,-742.25,FORECAST
06/01/2021 01:00,35.48,6710.76,5557.409,376.351,-759.6,FORECAST
06/01/2021 01:30,32.5,6431.56,5108.338,374.902,-919.25,FORECAST
06/01/2021 02:00,35.47,6208.08,4881.191,368.819,-925.73,FORECAST
06/01/2021 02:30,32.5,6060.69,4713.693,367.057,-946.23,FORECAST
06/01/2021 03:00,32.5,5976.77,4628.93,365.64,-948.43,FORECAST
06/01/2021 03:30,32.45,5951.23,4589.732,361.828,-965.23,FORECAST
06/01/2021 04:00,32.5,5992.84,4628.334,360.076,-970.01,FORECAST
06/01/2021 04:30,32.5,6119.32,4782.584,366.216,-936.61,FORECAST
06/01/2021 05:00,32.51,6265.07,4934.493,370.467,-927.78,FORECAST
06/01/2021 05:30,32.53,6465.42,5341.699,383.361,-723.18,FORECAST
06/01/2021 06:00,35.47,6682.97,5611.52,496.36,-568.21,FORECAST
06/01/2021 06:30,35.47,6836.22,5463.528,661.722,-704.94,FORECAST
06/01/2021 07:00,35.47,6946.48,5586.138,879.332,-480.01,FORECAST
06/01/2021 07:30,35.47,7026.71,5548.318,1076.092,-398.34,FORECAST
06/01/2021 08:00,34.3845,7063.18,5446,1172.96,-429.82,FORECAST
06/01/2021 08:30,35.47,7142.42,5572.52675,1298.91325,-258.96,FORECAST
06/01/2021 09:00,35.47,7171.2,5449.97992,1324.56008,-376.33,FORECAST
06/01/2021 09:30,35.47,7181.53,5535.98018,1322.50982,-298.06,FORECAST
06/01/2021 10:00,35.47,7173.95,5365.38809,1335.46191,-448.82,FORECAST
06/01/2021 10:30,35.47,7225.07,5393.35444,1335.61556,-468.97,FORECAST
06/01/2021 11:00,35.47,7273.39,5430.12896,1318.94104,-494.76,FORECAST
06/01/2021 11:30,35.47,7282.42,5536.15955,1310.75045,-402.12,FORECAST
06/01/2021 12:00,35.47,7259.39,5638.5297,1295.3903,-286.56,FORECAST
06/01/2021 12:30,35.47,7273.06,5655.6822,1295.9178,-280.6,FORECAST
06/01/2021 13:00,35.47,7247.43,5631.71636,1299.20364,-273.89,FORECAST
06/01/2021 13:30,35.47,7259.37,5635.42976,1300.27024,-281.06,FORECAST
06/01/2021 14:00,35.47,7346.06,5701.2585,1324.4415,-276.03,FORECAST
06/01/2021 14:30,35.47,7535.47,5864.52855,1351.42145,-272.92,FORECAST
06/01/2021 15:00,35.47,7629.94,5974.04819,1332.35181,-277.93,FORECAST
06/01/2021 15:30,35.47,7703.22,6078.0577,1303.0423,-277.09,FORECAST
06/01/2021 16:00,35.47,7776.59,6180.74844,1279.02156,-273.95,FORECAST
06/01/2021 16:30,35.48,7878.88,6351.888,1185.312,-300.67,FORECAST
06/01/2021 17:00,35.48,8035.07,6574.91,1122.23,-300.83,FORECAST
06/01/2021 17:30,39,8120.64,6721.693,1071.867,-292.79,FORECAST
06/01/2021 18:00,39.12,8182.56,6860.078,1002.892,-288.86,FORECAST
06/01/2021 18:30,39.12,8142.44,6898.567,932.623,-283.05,FORECAST
06/01/2021 19:00,39.12,8066.36,6919.073,851.017,-269.81,FORECAST
06/01/2021 19:30,39.12,7980.79,6890.763,812.687,-252.41,FORECAST
06/01/2021 20:00,39.12,7905.57,6820.838,823.382,-236.18,FORECAST
06/01/2021 20:30,39,7810.11,6711.057,844.463,-230.65,FORECAST
06/01/2021 21:00,35.48,7629.38,6535.807,879.403,-191.4,FORECAST
06/01/2021 21:30,35.48,7564.12,6437.004,907.186,-193.51,FORECAST
06/01/2021 22:00,35.47,7464.72,6340.675,914.135,-182.13,FORECAST
06/01/2021 22:30,38.32,7422.44,6298.624,912.876,-182.16,FORECAST
06/01/2021 23:00,35.55079,7319.9,6196.796,907.364,-187,FORECAST
06/01/2021 23:30,35.47,7138.3,5753.712,902.208,-464.35,FORECAST
07/01/2021 00:00,35.47,7001.48,5484.374,886.466,-617.73,FORECAST
07/01/2021 00:30,35.47,6788.56,5310.792,873.528,-591.1,FORECAST
07/01/2021 01:00,34.71852,6573.39,5088.005,863.495,-607.7,FORECAST
07/01/2021 01:30,32.5,6299.41,4732.854,860.806,-690.28,FORECAST
07/01/2021 02:00,31.89,6089.34,4566.365,856.155,-650.13,FORECAST
07/01/2021 02:30,26.238,5955.6,4493.002,853.588,-591.21,FORECAST
07/01/2021 03:00,25.86212,5884.83,4493.003,842.547,-530.48,FORECAST
07/01/2021 03:30,25.97862,5869.95,4493.004,833.826,-524.16,FORECAST
07/01/2021 04:00,26.36926,5920.31,4492.998,822.562,-586.49,FORECAST